tier,title,name,game,url,start_date,end_date,is_multi_day,prize,region,location,n_participants,first_place,second_place,first_place_abbrv,second_place_abbrv,first_place_has_page,second_place_has_page,scrape_time
B,2022,HCS 2021-22 North America Pro Series 1,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/North_America/Pro_Series/1,2022-06-02,2022-06-02,FALSE,NA,North America,"Online, North America",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Europe Pro Series 1,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/Europe/Pro_Series/1,2022-06-01,2022-06-01,FALSE,NA,Europe,"Online, Europe",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Mexico Pro Series 1,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/Mexico/Pro_Series/1,2022-05-31,2022-05-31,FALSE,NA,Mexico,"Online, Mexico",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Oceania Pro Series 1,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/Oceania/Pro_Series/1,2022-05-31,2022-05-31,FALSE,NA,Oceania,"Online, Oceania",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Europe Open Championship,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_1/Europe/Open_Series/Championship,2022-04-01,2022-04-03,TRUE,NA,Europe,"Online, Europe",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Mexico Open Championship,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_1/Mexico/Open_Series/Championship,2022-04-01,2022-04-03,TRUE,NA,Mexico,"Online, Mexico",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Oceania Open Championship,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_1/Oceania/Open_Series/Championship,2022-04-01,2022-04-03,TRUE,NA,Oceania,"Online, Oceania",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 North America Open Championship,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_1/North_America/Open_Series/Championship,2022-04-01,2022-04-03,TRUE,NA,North America,"Online, North America",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 North America Pro Series 4,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_1/North_America/Pro_Series/4,2022-01-27,2022-01-27,FALSE,NA,North America,"Online, North America",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Europe Pro Series 4,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_1/Europe/Pro_Series/4,2022-01-26,2022-01-26,FALSE,NA,Europe,"Online, Europe",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
